DATE,VIXCLS
11/21/2019,13.13
11/20/2019,12.78
11/19/2019,12.86
11/18/2019,12.46
11/15/2019,12.05
11/14/2019,13.05
11/13/2019,13
11/12/2019,12.68
11/11/2019,12.69
11/8/2019,12.07
11/7/2019,12.73
11/6/2019,12.62
11/5/2019,13.1
11/4/2019,12.83
11/1/2019,12.3
10/31/2019,13.22
10/30/2019,12.33
10/29/2019,13.2
10/28/2019,13.11
10/25/2019,12.65
10/24/2019,13.71
10/23/2019,14.01
10/22/2019,14.46
10/21/2019,14
10/18/2019,14.25
10/17/2019,13.79
10/16/2019,13.68
10/15/2019,13.54
10/14/2019,14.57
10/11/2019,15.58
10/10/2019,17.57
10/9/2019,18.64
10/8/2019,20.28
10/7/2019,17.86
10/4/2019,17.04
10/3/2019,19.12
10/2/2019,20.56
10/1/2019,18.56
9/30/2019,16.24
9/27/2019,17.22
9/26/2019,16.07
9/25/2019,15.96
9/24/2019,17.05
9/23/2019,14.91
9/20/2019,15.32
9/19/2019,14.05
9/18/2019,13.95
9/17/2019,14.44
9/16/2019,14.67
9/13/2019,13.74
9/12/2019,14.22
9/11/2019,14.61
9/10/2019,15.2
9/9/2019,15.27
9/6/2019,15
9/5/2019,16.27
9/4/2019,17.33
9/3/2019,19.66
9/2/2019,.
8/30/2019,18.98
8/29/2019,17.88
8/28/2019,19.35
8/27/2019,20.31
8/26/2019,19.32
8/23/2019,19.87
8/22/2019,16.68
8/21/2019,15.8
8/20/2019,17.5
8/19/2019,16.88
8/16/2019,18.47
8/15/2019,21.18
8/14/2019,22.1
8/13/2019,17.52
8/12/2019,21.09
8/9/2019,17.97
8/8/2019,16.91
8/7/2019,19.49
8/6/2019,20.17
8/5/2019,24.59
8/2/2019,17.61
8/1/2019,17.87
7/31/2019,16.12
7/30/2019,13.94
7/29/2019,12.83
7/26/2019,12.16
7/25/2019,12.74
7/24/2019,12.07
7/23/2019,12.61
7/22/2019,13.53
7/19/2019,14.45
7/18/2019,13.53
7/17/2019,13.97
7/16/2019,12.86
7/15/2019,12.68
7/12/2019,12.39
7/11/2019,12.93
7/10/2019,13.03
7/9/2019,14.09
7/8/2019,13.96
7/5/2019,13.28
7/4/2019,.
7/3/2019,12.57
7/2/2019,12.93
7/1/2019,14.06
6/28/2019,15.08
6/27/2019,15.82
6/26/2019,16.21
6/25/2019,16.28
6/24/2019,15.26
6/21/2019,15.4
6/20/2019,14.75
6/19/2019,14.33
6/18/2019,15.15
6/17/2019,15.35
6/14/2019,15.28
6/13/2019,15.82
6/12/2019,15.91
6/11/2019,15.99
6/10/2019,15.94
6/7/2019,16.3
6/6/2019,15.93
6/5/2019,16.09
6/4/2019,16.97
6/3/2019,18.86
5/31/2019,18.71
5/30/2019,17.3
5/29/2019,17.9
5/28/2019,17.5
5/27/2019,.
5/24/2019,15.85
5/23/2019,16.92
5/22/2019,14.75
5/21/2019,14.95
5/20/2019,16.31
5/17/2019,15.96
5/16/2019,15.29
5/15/2019,16.44
5/14/2019,18.06
5/13/2019,20.55
5/10/2019,16.04
5/9/2019,19.1
5/8/2019,19.4
5/7/2019,19.32
5/6/2019,15.44
5/3/2019,12.87
5/2/2019,14.42
5/1/2019,14.8
4/30/2019,13.12
4/29/2019,13.11
4/26/2019,12.73
4/25/2019,13.25
4/24/2019,13.14
4/23/2019,12.28
4/22/2019,12.42
4/19/2019,.
4/18/2019,12.09
4/17/2019,12.6
4/16/2019,12.18
4/15/2019,12.32
4/12/2019,12.01
4/11/2019,13.02
4/10/2019,13.3
4/9/2019,14.28
4/8/2019,13.18
4/5/2019,12.82
